"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nPortal__Portal_Header_Text__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nPortal__Portal_Subheader_Text__c","nFORCE__Number_of_Columns__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a335w000001bYZTAA2","","Payment Structure","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","13.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42140624910829180","LLC_BI__Loan__c","","","","","","false","false","",""
"a335w000001bYZUAA2","","Rate Structure","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","12.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42573526409044433","LLC_BI__Loan__c","","","","","","false","false","",""
"a335w000001bYZVAA2","","Product Package Details","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","20.0","slide","true","true","false","false","","false","","","MappedSObjectScreenResource","","42002583842804319","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYZWAA2","","Relationship Summary","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42976409838858034","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYZXAA2","","Product Request","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42842489602278253","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYZYAA2","","Product Package Team","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","70.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42499036851306630","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYaFAAU","","Check","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vrJAAQ","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","","LLC_BI__Funding_Method__c","","","","","","false","false","",""
"a335w000001bYcEAAU","","Debit Card","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vrJAAQ","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","","LLC_BI__Funding_Method__c","","","","","","false","false","",""
"a335w000001bYcMAAU","","Wire","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vrJAAQ","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","","LLC_BI__Funding_Method__c","","","","","","false","false","",""
"a335w000001bYdcAAE","","Overdraft Protection","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjtAAA","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","","LLC_BI__Treasury_Service__c","Let's Talk About Adding Overdraft Protection","","","","","false","false","",""
"a335w000001bYdeAAE","","Online Banking","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjsAAA","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","","LLC_BI__Treasury_Service__c","Let's Talk About Adding Online Banking","","","","","false","false","",""
"a335w000001bYihAAE","","Relationship Summary Narrative","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","11.0","slide","true","false","true","false","","false","","","SObjectScreenResource","","42094526009486696","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYiiAAE","","Product Package Narrative","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","21.0","slide","true","true","true","false","","true","","","SObjectScreenResource","","42762698004347625","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYijAAE","","Product Request Narrative","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","31.0","slide","true","false","true","false","","false","","","SObjectScreenResource","","42567108165923936","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYikAAE","","Collateral Summary","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42452123236866257","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYilAAE","","Collateral Narrative","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","41.0","slide","true","false","true","false","","false","","","SObjectScreenResource","","42234379630177854","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYimAAE","","Covenant Summary","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","50.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42809974595653601","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYinAAE","","Covenant Narrative","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","51.0","slide","true","false","true","false","","false","","","SObjectScreenResource","","42763526191600129","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYioAAE","","Related Exposure","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42916768694956779","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYipAAE","","Recommendation Summary","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vjwAAA","false","false","false","false","false","80.0","slide","true","false","false","false","","false","","","SObjectScreenResource","","42947693248535142","LLC_BI__Product_Package__c","","","","","","false","false","",""
"a335w000001bYlJAAU","","Default Loan Facility Creation Fields","2020-05-14T11:38:20.000Z","0055w00000Cu9fGAAR","2021-01-28T16:49:51.000Z","0055w00000BkiP4AAJ","","a345w0000036vjuAAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42127256609219142","LLC_BI__Loan__c","","","","","","false","false","","a335w000001bYlJAAU"
"a335w000001bYlQAAU","","ACH","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","2020-05-14T11:38:20.000Z","0055w00000BkiP4AAJ","","a345w0000036vs7AAA","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","","LLC_BI__Funding_Method__c","","","","","","false","false","",""
